x_value,PID,PNAME,STATUS,CPU,NUM THREADS,MEMORY(MB)
0,2692,SkypeApp.exe,running,0.90%,52,380.121
0,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
0,1028,SkypeBridge.exe,running,0.00%,13,72.421
1,2692,SkypeApp.exe,running,0.85%,52,379.761
1,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
1,1028,SkypeBridge.exe,running,0.00%,13,72.421
2,2692,SkypeApp.exe,running,1.45%,52,379.761
2,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
2,1028,SkypeBridge.exe,running,0.00%,13,72.421
3,2692,SkypeApp.exe,running,1.05%,52,379.761
3,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
3,1028,SkypeBridge.exe,running,0.00%,13,72.421
4,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
4,2692,SkypeApp.exe,running,0.00%,52,379.761
4,1028,SkypeBridge.exe,running,0.00%,13,72.421
5,2692,SkypeApp.exe,running,1.55%,51,379.752
5,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
5,1028,SkypeBridge.exe,running,0.00%,16,72.479
6,2692,SkypeApp.exe,running,7.90%,51,380.174
6,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
6,1028,SkypeBridge.exe,running,0.00%,15,72.462
7,2692,SkypeApp.exe,running,4.70%,51,381.465
7,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
7,1028,SkypeBridge.exe,running,0.00%,15,72.462
8,2692,SkypeApp.exe,running,10.00%,52,380.531
8,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
8,1028,SkypeBridge.exe,running,0.00%,15,72.462
9,2692,SkypeApp.exe,running,4.03%,52,380.461
9,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
9,1028,SkypeBridge.exe,running,0.00%,15,72.462
10,2692,SkypeApp.exe,running,1.15%,52,380.461
10,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
10,1028,SkypeBridge.exe,running,0.00%,15,72.462
11,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
11,2692,SkypeApp.exe,running,0.00%,49,380.367
11,1028,SkypeBridge.exe,running,0.00%,15,72.462
12,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
12,2692,SkypeApp.exe,running,0.00%,50,380.387
12,1028,SkypeBridge.exe,running,0.00%,15,72.462
13,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
13,2692,SkypeApp.exe,running,0.00%,50,380.387
13,1028,SkypeBridge.exe,running,0.00%,14,72.413
14,2692,SkypeApp.exe,running,2.58%,50,380.387
14,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.829
14,1028,SkypeBridge.exe,running,0.00%,14,72.413
15,2692,SkypeApp.exe,running,2.00%,50,380.387
15,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
15,1028,SkypeBridge.exe,running,0.00%,14,72.413
16,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
16,2692,SkypeApp.exe,running,0.00%,49,380.367
16,1028,SkypeBridge.exe,running,0.00%,14,72.413
17,2692,SkypeApp.exe,running,2.00%,49,380.125
17,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
17,1028,SkypeBridge.exe,running,0.00%,12,72.380
18,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
18,2692,SkypeApp.exe,running,0.00%,49,380.125
18,1028,SkypeBridge.exe,running,0.00%,12,72.380
19,2692,SkypeApp.exe,running,2.00%,48,380.858
19,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
19,1028,SkypeBridge.exe,running,0.00%,12,72.380
20,2692,SkypeApp.exe,running,4.55%,48,380.133
20,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
20,1028,SkypeBridge.exe,running,0.00%,12,72.380
21,2692,SkypeApp.exe,running,1.10%,47,380.117
21,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
21,1028,SkypeBridge.exe,running,0.00%,11,72.368
22,2692,SkypeApp.exe,running,1.05%,47,380.117
22,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
22,1028,SkypeBridge.exe,running,0.00%,11,72.368
23,2692,SkypeApp.exe,running,1.10%,47,380.097
23,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
23,1028,SkypeBridge.exe,running,0.00%,11,72.368
24,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
24,2692,SkypeApp.exe,running,0.00%,47,380.097
24,1028,SkypeBridge.exe,running,0.00%,11,72.368
25,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
25,2692,SkypeApp.exe,running,0.00%,47,380.097
25,1028,SkypeBridge.exe,running,0.00%,11,72.368
26,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
26,2692,SkypeApp.exe,running,0.00%,47,380.097
26,1028,SkypeBridge.exe,running,0.00%,11,72.368
27,2692,SkypeApp.exe,running,1.12%,47,380.097
27,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
27,1028,SkypeBridge.exe,running,0.00%,11,72.368
28,2692,SkypeApp.exe,running,2.77%,47,380.097
28,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
28,1028,SkypeBridge.exe,running,0.00%,11,72.368
29,2692,SkypeApp.exe,running,1.00%,47,380.097
29,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
29,1028,SkypeBridge.exe,running,0.00%,11,72.368
30,2692,SkypeApp.exe,running,1.05%,47,380.109
30,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
30,1028,SkypeBridge.exe,running,0.00%,16,73.023
31,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
31,2692,SkypeApp.exe,running,0.00%,47,380.109
31,1028,SkypeBridge.exe,running,0.00%,15,73.007
32,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
32,2692,SkypeApp.exe,running,0.00%,47,380.109
32,1028,SkypeBridge.exe,running,0.00%,15,73.007
33,2692,SkypeApp.exe,running,2.27%,47,380.109
33,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
33,1028,SkypeBridge.exe,running,0.00%,15,73.007
34,2692,SkypeApp.exe,running,1.00%,47,380.109
34,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
34,1028,SkypeBridge.exe,running,0.00%,15,73.007
35,2692,SkypeApp.exe,running,1.15%,47,380.109
35,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
35,1028,SkypeBridge.exe,running,0.00%,15,73.007
36,2692,SkypeApp.exe,running,2.00%,47,380.109
36,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
36,1028,SkypeBridge.exe,running,0.00%,16,73.032
37,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
37,2692,SkypeApp.exe,running,0.00%,47,380.109
37,1028,SkypeBridge.exe,running,0.00%,15,73.015
38,2692,SkypeApp.exe,running,1.05%,47,380.109
38,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
38,1028,SkypeBridge.exe,running,0.00%,15,73.015
39,2692,SkypeApp.exe,running,1.10%,47,380.109
39,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.861
39,1028,SkypeBridge.exe,running,0.00%,15,73.015
40,2692,SkypeApp.exe,running,3.12%,47,380.109
40,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.857
40,1028,SkypeBridge.exe,running,0.00%,15,73.015
41,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.841
41,2692,SkypeApp.exe,running,0.00%,47,380.109
41,1028,SkypeBridge.exe,running,0.00%,15,73.015
42,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
42,2692,SkypeApp.exe,running,0.00%,47,380.109
42,1028,SkypeBridge.exe,running,0.00%,16,73.032
43,2692,SkypeApp.exe,running,1.07%,47,380.109
43,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
43,1028,SkypeBridge.exe,running,0.00%,15,73.015
44,2692,SkypeApp.exe,running,1.05%,47,380.109
44,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
44,1028,SkypeBridge.exe,running,0.00%,15,73.015
45,2692,SkypeApp.exe,running,1.10%,47,381.735
45,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
45,1028,SkypeBridge.exe,running,0.00%,15,73.015
46,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
46,2692,SkypeApp.exe,running,0.00%,47,380.355
46,1028,SkypeBridge.exe,running,0.00%,15,73.015
47,2692,SkypeApp.exe,running,2.38%,49,380.400
47,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
47,1028,SkypeBridge.exe,running,0.00%,15,73.015
48,2692,SkypeApp.exe,running,1.07%,49,380.400
48,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
48,1028,SkypeBridge.exe,running,0.00%,15,73.015
49,2692,SkypeApp.exe,running,1.15%,49,380.391
49,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
49,1028,SkypeBridge.exe,running,0.00%,13,72.950
50,2692,SkypeApp.exe,running,2.27%,49,380.391
50,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
50,1028,SkypeBridge.exe,running,0.00%,14,72.962
51,2692,SkypeApp.exe,running,1.20%,48,381.243
51,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
51,1028,SkypeBridge.exe,running,0.00%,14,72.962
52,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
52,2692,SkypeApp.exe,running,0.00%,48,380.420
52,1028,SkypeBridge.exe,running,0.00%,14,72.962
53,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
53,2692,SkypeApp.exe,running,0.00%,48,380.420
53,1028,SkypeBridge.exe,running,0.00%,14,72.962
54,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
54,2692,SkypeApp.exe,running,0.00%,46,380.367
54,1028,SkypeBridge.exe,running,0.00%,14,72.962
55,2692,SkypeApp.exe,running,2.88%,46,380.367
55,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
55,1028,SkypeBridge.exe,running,0.00%,12,72.913
56,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
56,2692,SkypeApp.exe,running,0.00%,45,380.355
56,1028,SkypeBridge.exe,running,0.00%,12,72.913
57,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
57,2692,SkypeApp.exe,running,0.00%,45,380.633
57,1028,SkypeBridge.exe,running,0.00%,12,72.851
58,2692,SkypeApp.exe,running,1.10%,45,380.375
58,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
58,1028,SkypeBridge.exe,running,0.00%,12,72.786
59,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
59,2692,SkypeApp.exe,running,0.00%,45,380.375
59,1028,SkypeBridge.exe,running,0.00%,12,72.786
60,2692,SkypeApp.exe,running,1.12%,45,380.375
60,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
60,1028,SkypeBridge.exe,running,0.00%,12,72.786
61,2692,SkypeApp.exe,running,1.05%,45,380.375
61,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
61,1028,SkypeBridge.exe,running,0.00%,12,72.786
62,2692,SkypeApp.exe,running,1.07%,45,380.375
62,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
62,1028,SkypeBridge.exe,running,0.00%,12,72.786
63,2692,SkypeApp.exe,running,1.85%,45,380.375
63,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
63,1028,SkypeBridge.exe,running,0.00%,12,72.786
64,2692,SkypeApp.exe,running,1.18%,45,380.375
64,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
64,1028,SkypeBridge.exe,running,0.00%,12,72.786
65,2692,SkypeApp.exe,running,4.00%,46,380.391
65,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
65,1028,SkypeBridge.exe,running,0.00%,12,72.786
66,2692,SkypeApp.exe,running,1.12%,46,380.391
66,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
66,1028,SkypeBridge.exe,running,0.00%,12,72.786
67,2692,SkypeApp.exe,running,1.00%,46,380.391
67,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
67,1028,SkypeBridge.exe,running,0.00%,12,72.786
68,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
68,2692,SkypeApp.exe,running,0.00%,46,380.391
68,1028,SkypeBridge.exe,running,0.00%,12,72.786
69,2692,SkypeApp.exe,running,3.12%,46,380.391
69,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
69,1028,SkypeBridge.exe,running,0.00%,12,72.786
70,2692,SkypeApp.exe,running,2.17%,46,380.391
70,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
70,1028,SkypeBridge.exe,running,0.00%,12,72.786
71,2692,SkypeApp.exe,running,0.95%,46,380.383
71,16264,SkypeBackgroundHost.exe,running,0.00%,3,5.820
71,1028,SkypeBridge.exe,running,0.00%,12,72.786
72,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
72,2692,SkypeApp.exe,running,0.00%,46,380.383
72,1028,SkypeBridge.exe,running,0.00%,12,72.786
73,2692,SkypeApp.exe,running,1.00%,46,380.383
73,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
73,1028,SkypeBridge.exe,running,0.00%,12,72.786
74,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
74,2692,SkypeApp.exe,running,0.00%,46,380.383
74,1028,SkypeBridge.exe,running,0.00%,12,72.786
75,2692,SkypeApp.exe,running,1.12%,46,380.334
75,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
75,1028,SkypeBridge.exe,running,0.00%,12,72.786
76,2692,SkypeApp.exe,running,1.10%,46,380.334
76,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
76,1028,SkypeBridge.exe,running,0.00%,12,72.786
77,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
77,2692,SkypeApp.exe,running,0.00%,46,380.334
77,1028,SkypeBridge.exe,running,0.00%,12,72.786
78,2692,SkypeApp.exe,running,1.07%,45,380.318
78,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
78,1028,SkypeBridge.exe,running,0.00%,12,72.786
79,2692,SkypeApp.exe,running,1.05%,45,380.318
79,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
79,1028,SkypeBridge.exe,running,0.00%,11,72.774
80,2692,SkypeApp.exe,running,1.15%,45,380.318
80,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
80,1028,SkypeBridge.exe,running,0.00%,11,72.774
81,2692,SkypeApp.exe,running,2.17%,45,380.318
81,16264,SkypeBackgroundHost.exe,running,0.00%,1,5.788
81,1028,SkypeBridge.exe,running,0.00%,13,72.806
82,2692,SkypeApp.exe,running,2.17%,46,380.334
