x_value,PID,PNAME,STATUS,CPU,NUM THREADS,MEMORY(MB)
0,20352,TeamViewer.exe,running,0.00%,19,108.134
0,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
1,20352,TeamViewer.exe,running,0.00%,19,108.134
1,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
2,20352,TeamViewer.exe,running,0.00%,19,108.134
2,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
3,20352,TeamViewer.exe,running,0.00%,19,108.134
3,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
4,20352,TeamViewer.exe,running,0.00%,19,108.134
4,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
5,20352,TeamViewer.exe,running,0.00%,19,108.134
5,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
6,20352,TeamViewer.exe,running,0.00%,19,108.126
6,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
7,20352,TeamViewer.exe,running,0.00%,19,108.126
7,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
8,20352,TeamViewer.exe,running,0.00%,19,108.126
8,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
9,20352,TeamViewer.exe,running,4.20%,21,109.687
9,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
10,20352,TeamViewer.exe,running,0.00%,22,108.597
10,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
11,20352,TeamViewer.exe,running,0.00%,22,108.597
11,15032,TeamViewer_Service.exe,running,0.00%,20,27.329
12,20352,TeamViewer.exe,running,0.00%,22,108.601
12,15032,TeamViewer_Service.exe,running,0.00%,20,27.345
13,20352,TeamViewer.exe,running,0.00%,23,108.622
13,15032,TeamViewer_Service.exe,running,0.00%,20,27.345
14,20352,TeamViewer.exe,running,0.00%,23,108.622
14,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
15,20352,TeamViewer.exe,running,0.00%,23,108.659
15,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
16,20352,TeamViewer.exe,running,0.00%,23,108.659
16,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
17,20352,TeamViewer.exe,running,7.10%,23,108.659
17,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
18,20352,TeamViewer.exe,running,0.00%,23,108.659
18,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
19,20352,TeamViewer.exe,running,0.00%,23,108.659
19,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
20,20352,TeamViewer.exe,running,0.00%,23,108.659
20,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
21,20352,TeamViewer.exe,running,7.17%,23,108.659
21,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
22,20352,TeamViewer.exe,running,0.00%,23,108.659
22,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
23,20352,TeamViewer.exe,running,0.00%,23,108.659
23,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
24,20352,TeamViewer.exe,running,0.00%,23,108.659
24,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
25,20352,TeamViewer.exe,running,0.00%,23,108.659
25,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
26,20352,TeamViewer.exe,running,0.00%,23,108.659
26,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
27,20352,TeamViewer.exe,running,0.00%,23,108.659
27,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
28,20352,TeamViewer.exe,running,0.00%,23,108.659
28,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
29,20352,TeamViewer.exe,running,0.00%,23,108.659
29,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
30,20352,TeamViewer.exe,running,0.00%,23,108.659
30,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
31,20352,TeamViewer.exe,running,0.00%,23,108.659
31,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
32,20352,TeamViewer.exe,running,0.00%,23,108.650
32,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
33,20352,TeamViewer.exe,running,0.00%,23,108.650
33,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
34,20352,TeamViewer.exe,running,0.00%,23,108.650
34,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
35,20352,TeamViewer.exe,running,0.00%,23,108.650
35,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
36,20352,TeamViewer.exe,running,0.00%,23,108.650
36,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
37,20352,TeamViewer.exe,running,0.00%,23,108.650
37,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
38,20352,TeamViewer.exe,running,0.00%,23,108.650
38,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
39,20352,TeamViewer.exe,running,0.00%,23,108.650
39,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
40,20352,TeamViewer.exe,running,0.00%,23,108.650
40,15032,TeamViewer_Service.exe,running,0.00%,22,27.394
