x_value,pid,name,create_time,Upload,Download,Upload Speed,Download Speed
11,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
12,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
13,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
14,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
14,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,0.00B,54.00B,0.00B/s,54.00B/s
15,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
15,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,54.00B,54.00B,54.00B/s,54.00B/s
16,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
16,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,54.00B,162.00B,54.00B/s,162.00B/s
17,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
17,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,54.00B,216.00B,54.00B/s,216.00B/s
18,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
18,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,164.00B,216.00B,164.00B/s,216.00B/s
19,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,218.00B,414.00B,218.00B/s,414.00B/s
19,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
20,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,284.00B,468.00B,284.00B/s,468.00B/s
20,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
21,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,284.00B,468.00B,284.00B/s,468.00B/s
21,13100,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,151.00B,228.00B,151.00B/s,228.00B/s
22,2692,SkypeBackgroundHost.exe,2022-08-16 09:24:36.701293,284.00B,468.00B,284.00B/s,468.00B/s
