x_value,pid,name,create_time,Upload,Download,Upload Speed,Download Speed
1,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,271.00B,0.00B,271.00B/s,0.00B/s
2,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
3,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
4,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
5,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
6,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
7,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
8,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
9,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
10,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
11,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,325.00B,249.00B,325.00B/s,249.00B/s
12,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,249.00B,409.00B/s,249.00B/s
13,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
13,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
14,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
14,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
15,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
15,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
16,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
16,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
17,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
17,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
18,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
18,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
19,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
19,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
20,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
20,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
21,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
21,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
22,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
22,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
23,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
23,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
24,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
24,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
25,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
25,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
26,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
26,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
27,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
27,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
28,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,409.00B,303.00B,409.00B/s,303.00B/s
28,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
29,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,680.00B,303.00B,680.00B/s,303.00B/s
29,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
30,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,734.00B,606.00B,734.00B/s,606.00B/s
30,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
31,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,734.00B,606.00B,734.00B/s,606.00B/s
31,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
32,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,734.00B,606.00B,734.00B/s,606.00B/s
32,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
33,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,734.00B,606.00B,734.00B/s,606.00B/s
33,13100,zWebview2Agent.exe,2022-08-16 10:56:03.052644,151.00B,228.00B,151.00B/s,228.00B/s
34,15200,zWebview2Agent.exe,2022-08-16 10:56:03.052644,734.00B,606.00B,734.00B/s,606.00B/s
