x_value,pid,name,create_time,Upload,Download,Upload Speed,Download Speed
21,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
22,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
23,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
24,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
25,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
26,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
27,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
28,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
29,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
30,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
31,15200,Zoom.exe,2022-08-16 10:46:02.221035,325.00B,249.00B,325.00B/s,249.00B/s
32,15200,Zoom.exe,2022-08-16 10:46:02.221035,409.00B,303.00B,409.00B/s,303.00B/s
32,13100,Zoom.exe,2022-08-16 10:46:02.221035,151.00B,228.00B,151.00B/s,228.00B/s
33,15200,Zoom.exe,2022-08-16 10:46:02.221035,409.00B,303.00B,409.00B/s,303.00B/s
33,13100,Zoom.exe,2022-08-16 10:46:02.221035,151.00B,228.00B,151.00B/s,228.00B/s
34,15200,Zoom.exe,2022-08-16 10:46:02.221035,409.00B,303.00B,409.00B/s,303.00B/s
34,13100,Zoom.exe,2022-08-16 10:46:02.221035,151.00B,228.00B,151.00B/s,228.00B/s
35,15200,Zoom.exe,2022-08-16 10:46:02.221035,409.00B,303.00B,409.00B/s,303.00B/s
35,13100,Zoom.exe,2022-08-16 10:46:02.221035,151.00B,228.00B,151.00B/s,228.00B/s
36,15200,Zoom.exe,2022-08-16 10:46:02.221035,409.00B,303.00B,409.00B/s,303.00B/s
36,13100,Zoom.exe,2022-08-16 10:46:02.221035,151.00B,228.00B,151.00B/s,228.00B/s
37,15200,Zoom.exe,2022-08-16 10:46:02.221035,409.00B,303.00B,409.00B/s,303.00B/s
37,13100,Zoom.exe,2022-08-16 10:46:02.221035,151.00B,228.00B,151.00B/s,228.00B/s
38,15200,Zoom.exe,2022-08-16 10:46:02.221035,409.00B,303.00B,409.00B/s,303.00B/s
