x_value,pid,name,create_time,Upload,Download,Upload Speed,Download Speed
4,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,0.00B,60.00B,0.00B/s,60.00B/s
5,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,0.00B,60.00B,0.00B/s,60.00B/s
6,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
6,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,78.00B,0.00B,78.00B/s,0.00B/s
7,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,132.00B,78.00B,132.00B/s,78.00B/s
7,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
8,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,132.00B,78.00B,132.00B/s,78.00B/s
8,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
9,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,132.00B,78.00B,132.00B/s,78.00B/s
9,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
10,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,132.00B,78.00B,132.00B/s,78.00B/s
10,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
11,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,210.00B,78.00B,210.00B/s,78.00B/s
11,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
12,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,210.00B,138.00B,210.00B/s,138.00B/s
12,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
13,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,210.00B,138.00B,210.00B/s,138.00B/s
13,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
14,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,210.00B,138.00B,210.00B/s,138.00B/s
14,10468,TeamViewer.exe,2022-08-15 18:47:52.818056,54.00B,60.00B,54.00B/s,60.00B/s
15,15032,TeamViewer.exe,2022-08-15 18:47:52.818056,210.00B,138.00B,210.00B/s,138.00B/s
